Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
chamber,TEXT,Composite primary key,"Cámara a la que pertenece el escaño.","Chamber the seat belongs to.",DIP or SEN,"Both chambers share this table."
seat_id,TEXT,Composite primary key; logical foreign key,"Identificador del escaño LXVI.","LXVI seat identifier.",DIP_ or SEN_ key,"References dim_diputados or dim_senadores."
elected_person_id,TEXT,Nullable logical foreign key,"Identidad de votaciones de quien ganó el escaño en 2024.","Roll-call identity of the person elected in 2024.",Person id or NULL,"NULL when no roll-call identity could be bridged to the elected person."
elected_party,TEXT,Required attribute,"Partido que ganó el escaño, ya canonicalizado.","Party that won the seat, canonicalized.",Party key,"CAND_INDEPENDIENTE is folded to IND so both front ends agree."
titular_name,TEXT,Nullable display attribute,"Nombre del titular registrado ante el INE.","INE-registered titular name.",Text or NULL,"The constitutional seat label, kept separate from the voting identity."
substitute_name,TEXT,Nullable display attribute,"Nombre del suplente registrado ante el INE.","INE-registered substitute name.",Text or NULL,"The only route from an interim voter back to a place in the hemicycle."
current_person_id,TEXT,Nullable logical foreign key,"Identidad de votaciones de quien ocupa el escaño hoy.","Roll-call identity of the current occupant.",Person id or NULL,"Differs from elected_person_id where a suplente took over."
current_name,TEXT,Nullable display attribute,"Nombre de quien ocupa el escaño en el último directorio.","Current occupant name in the latest directory.",Text or NULL,"NULL for a vacant seat."
current_party,TEXT,Required attribute,"Grupo parlamentario actual del escaño.","Current parliamentary group of the seat.",Party key,"Can differ from elected_party after a change of bench."
current_status,TEXT,Required attribute,"Situación de la ocupación del escaño.","Occupancy status of the seat.","en_funciones, licencia, vacante, sin_directorio","sin_directorio marks a seat absent from the roster snapshot; it keeps its elected occupant rather than emptying."
roster_observed_at,TEXT,Nullable lineage,"Fecha de corte del directorio oficial usado.","Cutoff date of the official directory used.",ISO date or NULL,"Copied from dim_congress_roster_snapshot."
roster_source_url,TEXT,Nullable lineage,"URL del directorio oficial usado.","URL of the official directory used.",URL or NULL,"Copied from dim_congress_roster_snapshot."
created_at,TIMESTAMP,System field,"Fecha de materialización.","Materialization timestamp.",SQLite timestamp,"Rows are rebuilt by ingestion/congress_seat_member_resolve.py."
