Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
senador_seat_id,TEXT,Primary key,"Identificador estable del escaño oficial del Senado.","Stable identifier for the official Senate seat assignment.","SEN_<12 hex chars>.","Hash of a natural seat key rather than the candidate spelling."
election_id,TEXT,Required attribute,"Concurso electoral que produjo la integración oficial.","Election contest that produced the official composition.","SEN_MR_2024.","The identifier anchors the 2024 integration even though this dimension also contains FM and RP seats."
legislature,INTEGER,Required attribute,"Legislatura federal a la que corresponde el escaño.","Federal legislature associated with the seat.","66.","Used to constrain the Senado identity roster."
seat_type,TEXT,Required attribute,"Principio por el que se asignó el escaño.","Seat-allocation principle.","MR, FM, RP.","MR is mayoría relativa; FM is primera minoría; RP is representación proporcional."
party_key,TEXT,Required attribute,"Partido político al que INE atribuye el escaño.","Political party to which INE assigns the seat.","Official party label.","Seat ownership rather than a coalition vote-result option."
id_estado,INTEGER,Nullable attribute,"Clave de entidad para escaños MR y FM.","State identifier for MR and FM seats.","1-32 or NULL.","RP rows normally have NULL."
nombre_estado,TEXT,Nullable attribute,"Nombre de entidad para escaños MR y FM.","State name for MR and FM seats.","Mexican federal entity or NULL.","Preserved from the official integration source."
numero_lista,INTEGER,Nullable attribute,"Posición de la fórmula o candidatura en la integración oficial.","Position of the slate or candidacy in the official integration.","Positive integer or NULL.","Positions 1-2 produce MR seats and position 3 produces the first-minority seat in state slates; RP uses party-list position."
ine_candidate_name,TEXT,Nullable source attribute,"Nombre de la persona candidata titular publicado por INE.","Titular candidate name published by INE.","Text or NULL.","The titular is attempted first during identity resolution."
ine_substitute_name,TEXT,Nullable source attribute,"Nombre de la persona suplente publicado por INE.","Substitute candidate name published by INE.","Text or NULL.","Can be selected when the substitute rather than titular appears in the roll-call roster."
source_name_role,TEXT,Required QA attribute,"Campo oficial usado para enlazar la identidad observada.","Official name role used to link the observed identity.","titular or suplente.","Makes substitutions explicit and auditable."
display_name,TEXT,Nullable derived attribute,"Nombre oficial seleccionado con capitalización homogénea.","Selected official name with normalized display casing.","Text or NULL.","Intended for interface display."
normalized_name_key,TEXT,Nullable derived key,"Tokens normalizados del nombre para comparación entre fuentes.","Normalized name tokens for cross-source comparison.","Pipe-delimited tokens or NULL.","Removes accents and ordering differences used by the matcher."
senador_id,INTEGER,Nullable foreign key,"Identificador observado en las votaciones del Senado cuando la correspondencia es confiable.","Observed Senate roll-call identifier when the identity match is reliable.","References dim_senador.senador_id or NULL.","Use this key rather than names to join vote history."
senador_name,TEXT,Nullable audit attribute,"Nombre observado en senado.gob.mx para la correspondencia seleccionada.","Name observed on senado.gob.mx for the selected match.","Text or NULL.","Retained so the cross-source match can be inspected."
match_method,TEXT,Required QA attribute,"Método y estado de la correspondencia de identidad.","Method and status of the identity match.","exact_tokens, approximate_tokens, audited_override, unmatched, missing_source_name.","Audited overrides cover manually verified aliases without weakening the general matcher."
match_score,REAL,Nullable QA measure,"Similitud de tokens para la correspondencia aplicada.","Token similarity for the applied match.","0.0-1.0 or NULL.","Used to audit approximate matches; audited overrides can have lower lexical similarity."
source_file,TEXT,Required lineage attribute,"Ruta local del archivo oficial que originó el registro.","Local path of the official source file.","Path to INTEGRACION_CARGOS_PEF_2024.csv.","Supports reproducible rebuilds."
created_at,TIMESTAMP,System field,"Marca de tiempo generada al materializar la dimensión.","Timestamp generated when the dimension is materialized.","SQLite CURRENT_TIMESTAMP.","Recreated with the table."
