Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
id_estado,INTEGER,Primary key,"Clave numerica de entidad federativa, igual a id_estado en dim_geography.","Numeric state key, matches id_estado in dim_geography.","1-32.","Joins directly to dim_geography.id_estado."
nombre_estado,TEXT,Required attribute,"Nombre de la entidad federativa.","State name.","Matches dim_geography.nombre_estado exactly (uppercase, INEGI convention).","Kept identical to dim_geography for easy joins."
has_gubernatorial_office,INTEGER,Required attribute,"Indica si la entidad elige un/a gobernador/a.","Whether the entity elects a governor.","1 = yes, 0 = no.","Only CDMX is 0; its executive is Jefe/a de Gobierno, tracked here as functionally equivalent but flagged."
gub_term_years,INTEGER,Required attribute,"Duracion legal del periodo de gobernador/a en años.","Legal governor term length in years.","5 or 6.","Baja California (5) and Quintana Roo (5) were shortened by law to synchronize with the 2027 cycle."
last_gub_election_year,INTEGER,Required attribute,"Año de la ultima eleccion de gobernador/a celebrada.","Year of the most recent gubernatorial election held.","2021-2024.","As of research date 2026-07."
next_gub_election_year,INTEGER,Required attribute,"Año de la proxima eleccion de gobernador/a.","Year of the next scheduled gubernatorial election.","2027-2030.","States cluster in four waves: 2027 (17 states), 2028 (4), 2029 (2: Coahuila, Mexico), 2030 (9 + CDMX)."
local_congress_term_years,INTEGER,Required attribute,"Duracion del periodo de diputados locales.","Local congress term length in years.","3.","Uniform 3-year term across all states."
next_local_congress_election_years,TEXT,Required attribute,"Años de proxima(s) eleccion(es) de congreso local conocidas.","Known upcoming local congress election year(s).","Comma-separated years, e.g. '2027' or '2027,2030'.","Local congress elects every 3 years so most states show two upcoming cycles when known."
municipal_term_years,INTEGER,Required attribute,"Duracion del periodo municipal.","Municipal term length in years.","3.","Uniform 3-year term; CDMX uses alcaldias on the same cadence."
next_municipal_election_years,TEXT,Required attribute,"Años de proxima(s) eleccion(es) municipal(es) conocidas.","Known upcoming municipal election year(s).","Comma-separated years, e.g. '2027' or '2027,2030'.","Oaxaca has many municipios governed by usos y costumbres, outside party elections."
has_gub_election_2027,INTEGER,Derived attribute,"Bandera que indica si la entidad elige gobernador/a en 2027.","Flag indicating whether the entity elects a governor in 2027.","1 = yes (17 states), 0 = no.","Convenience column for the 2027 intermediate/midterm cycle query."
notes,TEXT,Nullable attribute,"Notas relevantes sobre el calendario electoral estatal.","Relevant notes about the state's electoral calendar.","Free text.","Explains term-length exceptions, concurrency with federal elections, usos y costumbres, etc."
source,TEXT,System field,"Fuente de los datos.","Data source.","Free text.","Synthesized from INE calendars, OPLE sites, and Wikipedia as of 2026-07; exact 2027/2028 dates not yet published by INE (expected Sept 2026)."
created_at,TIMESTAMP,System field,"Marca de tiempo de insercion generada por SQLite.","SQLite-generated insertion timestamp.","CURRENT_TIMESTAMP default.","Warehouse-only field."
