Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
_GOTCHA,N/A,Warehouse-level warning,ADVERTENCIA: para obtener el total de votos emitidos de una carrera NO uses SUM(votes) directamente sobre esta tabla.,"WARNING: to get total votes cast for a race, do NOT use SUM(votes) directly on this table.",See Notes column for the correct query pattern.,"votos_nulos, recuadros_no_utilizados, total_votos_casilla, numero_personas_votaron and lista_nominal_casilla are per-casilla aggregate values repeated on every candidato_id row for that casilla, so summing them directly overcounts by roughly the number of candidates on that casilla's local ballot. Correct pattern: first GROUP BY (election_id, casilla_id) taking SUM(votes) as candidate_votes and MAX(votos_nulos), MAX(recuadros_no_utilizados) to collapse the per-casilla duplication, THEN sum candidate_votes + votos_nulos + recuadros_no_utilizados across casillas. Verified against official INE/Wikipedia totals for MIN_2025 (Hugo Aguilar Ortiz: 6,195,612; Lenia Batres: 5,802,019 -- exact match). SEPARATELY: total_votos_casilla is NOT a turnout/headcount figure for the four at-large races (MIN/TDJ/TEPJF_SS/TEPJF_SR) -- a voter can mark up to total_seats boxes on those ballots, so it is a sum of box-marks (confirmed: Coahuila's MIN_2025 casillas showed total_votos_casilla running ~2x lista_nominal_casilla). Use numero_personas_votaron for headcount/turnout; it reproduces published state turnout exactly (Coahuila 24.3%, Guanajuato 6.7%)."
vote_id,INTEGER,Primary key,Identificador surrogate generado por SQLite para cada renglon de votos en formato largo.,SQLite-generated surrogate identifier for each long-format vote row.,Autoincrement integer.,The analytical uniqueness is election_id + casilla_id + candidato_id.
election_id,TEXT,Foreign key; unique-key component,Carrera judicial a la que pertenece el renglon de voto.,Judicial race to which the vote row belongs.,"Values from dim_election.election_id (MIN_2025, TDJ_2025, TEPJF_SS_2025, TEPJF_SR_2025, TCCA_2025, JD_2025).",Required for joining facts to dimensions and for separating casilla identifiers across races.
casilla_id,TEXT,Unique-key component,Casilla donde se registraron los votos de la candidatura.,Polling station where the candidate's votes were recorded.,Values matching dim_casilla.casilla_id within the same election_id.,"Synthesized from (entidad, distrito federal, seccion, id_casilla, tipo_casilla_seccional), not the source CLAVE_CASILLA -- see dim_casilla.acta_casilla_mec notes."
candidato_id,TEXT,Foreign key; unique-key component,Candidatura a la que corresponde el valor de votos.,Candidate to which the vote value corresponds.,Values from dim_candidato_judicial.candidato_id.,"Rebuilt from the same row's own scope columns rather than joined from dim_candidato_judicial during ingest, mirroring how fact_casilla_vote uses party_key as a ready-made key."
no_candidato,TEXT,Attribute,Etiqueta de columna del acta que produjo este renglon.,Ballot-column label that produced this row.,"CAND01 through CAND84, depending on the race.",Kept alongside candidato_id for readability and audit; not unique on its own -- see dim_candidato_judicial.
votes,INTEGER,Required measure,Votos emitidos para la candidatura en la casilla especificada.,Votes cast for the candidate at the specified polling station.,Non-negative integer.,Core long-format vote measure. See the _GOTCHA row above for the correct total-votes query pattern.
votos_nulos,INTEGER,Nullable aggregate measure,"Votos nulos en la casilla, repetido en cada renglon de candidatura de esa casilla.","Null votes at the polling station, repeated on every candidate row for that casilla.",Non-negative integer or NULL.,NULL only for casillas the source has not yet computed. Do not SUM directly -- see _GOTCHA.
recuadros_no_utilizados,INTEGER,Nullable aggregate measure,"Recuadros de la boleta que el elector dejo sin marcar, repetido en cada renglon de candidatura de esa casilla.","Ballot boxes the voter left unmarked, repeated on every candidate row for that casilla.",Non-negative integer or NULL.,Meaningful because voters can mark up to total_seats boxes per race; has no equivalent in the party-vote federal tables. Do not SUM directly -- see _GOTCHA.
total_votos_casilla,INTEGER,Nullable aggregate measure,"Total de votos asentados en el acta de la casilla para esta carrera, repetido en cada renglon de candidatura.","Total votes recorded on the casilla's acta for this race, repeated on every candidate row.",Non-negative integer or NULL.,"Equals SUM(votes) + votos_nulos + recuadros_no_utilizados for the casilla; verified with 0 mismatches (excluding uncomputed casillas) during cleaning. Do not use this as a turnout proxy for MIN/TDJ/TEPJF_SS/TEPJF_SR: a voter can mark multiple boxes (up to total_seats), so this sums box-marks, not ballots. Use numero_personas_votaron for headcount."
numero_personas_votaron,INTEGER,Nullable aggregate measure,"Numero de personas que votaron en la casilla, repetido en cada renglon de candidatura.","Number of people who voted at the polling station, repeated on every candidate row.",Non-negative integer or NULL.,Per-casilla aggregate; do not SUM directly.
lista_nominal_casilla,INTEGER,Nullable aggregate measure,"Lista nominal de la casilla, repetido en cada renglon de candidatura.","Nominal voter list for the polling station, repeated on every candidate row.",Non-negative integer or NULL.,Per-casilla aggregate; do not SUM directly.
created_at,TIMESTAMP,System field,Marca de tiempo de insercion generada por SQLite.,SQLite-generated insertion timestamp.,CURRENT_TIMESTAMP default.,Warehouse-only field; not present in clean parquet inputs.
