Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
chamber,TEXT,Composite primary key,"Cámara a la que pertenece el escaño.","Chamber the seat belongs to.",DIP or SEN,"Both chambers share this table; each is rebuilt in its own pass."
seat_id,TEXT,Composite primary key; logical foreign key,"Identificador del escaño LXVI.","LXVI seat identifier.",DIP_ or SEN_ key,"References dim_diputados.diputado_id or dim_senadores.senador_seat_id."
member_index,INTEGER,Required ordering attribute,"Posición de la persona dentro del escaño, tal como se publica.","Person's published position within the seat.",0-based integer,"Load-bearing: published vote histories store this position rather than the person id, so a reordered rebuild would reattribute votes."
person_id,TEXT,Composite primary key; logical foreign key,"Identidad observada en votaciones, ya reconciliada por alias.","Roll-call identity, after alias reconciliation.",DEP_ key or senador_id,"References dim_gaceta_deputy.deputy_id or dim_senador.senador_id."
person_name,TEXT,Required display attribute,"Nombre publicado o reconciliado de la persona legisladora.","Published or reconciled legislator name.",Text,"Preferred spelling chosen during reconciliation."
party_key,TEXT,Required relationship attribute,"Grupo parlamentario asociado a la relación persona-escaño.","Parliamentary group for the person-seat relationship.",Party key,"Can differ from the party that originally won the seat."
seat_role,TEXT,Required relationship attribute,"Rol de la persona dentro de la fórmula del escaño.","Person's role in the seat formula.",titular or suplente,"Former and current substitutes are both suplente."
is_current_occupant,INTEGER,Required current flag,"Indica si la persona ocupa el escaño en el último directorio.","Whether the person occupies the seat in the latest directory.",0 or 1,"A current directory member with no linked vote identity remains 0."
vote_count,INTEGER,Required derived attribute,"Número de votaciones LXVI atribuidas a la persona.","Number of LXVI roll calls attributed to the person.",Non-negative integer,"Counted after alias merging, so a split identity is not double-counted."
relationship_source_url,TEXT,Nullable lineage,"Fuente oficial que respalda el vínculo entre persona y escaño.","Official source supporting the person-seat relationship.",URL or NULL,"Usually the INE integration or the chamber directory."
created_at,TIMESTAMP,System field,"Fecha de materialización de la relación.","Relationship materialization timestamp.",SQLite timestamp,"Rows are rebuilt by congreso/seat_members.py."
