Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
poll_month,TEXT,Composite primary key component,Mes al que corresponde la observacion de aprobacion.,Month to which the approval observation belongs.,YYYY-MM,Observations are aligned to month for cross-sexenio comparisons.
pollster_id,INTEGER,Composite primary key component; foreign key,Identificador de la casa encuestadora que produjo la observacion.,Identifier of the polling house that produced the observation.,References dim_approval_pollster.pollster_id,One pollster can contribute multiple observations in a month.
occurrence,INTEGER,Composite primary key component,Consecutivo que distingue observaciones de la misma casa en el mismo mes.,Sequence distinguishing observations from the same house in the same month.,Positive integer,Defaults to 1 when only one observation is recorded.
president,TEXT,Nullable attribute,Clave de la presidencia a la que pertenece la observacion.,Presidential term key to which the observation belongs.,EZPL VFQ FCH EPN AMLO Sheinbaum or NULL,Used to align observations by months in office.
aprueba,REAL,Nullable measure,Porcentaje que aprueba la gestion presidencial.,Percentage approving the president's performance.,0-100 or NULL,Stored in percentage points rather than a 0-1 fraction.
desaprueba,REAL,Nullable measure,Porcentaje que desaprueba la gestion presidencial.,Percentage disapproving the president's performance.,0-100 or NULL,Stored in percentage points rather than a 0-1 fraction.
resto,REAL,Nullable measure,Porcentaje restante no clasificado como aprueba o desaprueba.,Residual percentage not classified as approval or disapproval.,0-100 or NULL,Usually represents non-response or another reported category.
metodo,TEXT,Nullable attribute,Modalidad de levantamiento de la encuesta.,Survey fieldwork mode.,e.g. Telefónica Vivienda Online or NULL,May be unavailable in the source.
source_id,INTEGER,Nullable foreign key,Fuente documental de la observacion.,Source document for the observation.,References dim_approval_source.source_id or NULL,Logical foreign key; provenance can be unavailable for legacy series.
extraction,TEXT,Required provenance field,Metodo con el que se incorporo la observacion.,Method by which the observation was incorporated.,e.g. oraculus grafica tabla,Indicates the extraction workflow and is not a survey method.
