Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
gaceta_vote_id,TEXT,Primary key,"Identificador canónico de una votación nominal de la Gaceta Parlamentaria.","Canonical identifier for one Gaceta Parlamentaria roll-call vote.","Example: GACETA_L66_TABLA2EX1_1.","Generated from legislature and source-table identity."
source_url,TEXT,Source reference,"URL completa de la página de votación.","Full URL of the vote page.","HTTPS URL or NULL.","Stored once instead of repeating on fact rows."
source_path,TEXT,Source reference,"Ruta del URL de la página de votación.","URL path of the vote page.","Source path or NULL.","Supports crawl auditing and deduplication."
table_slug,TEXT,Source attribute,"Identificador corto de la tabla fuente.","Short identifier for the source table.","Text or NULL.","Derived from the source page or table name."
legislature,INTEGER,Source attribute,"Número de legislatura federal.","Federal legislature number.","58-66 in current source coverage.","Parsed from the Gaceta source hierarchy."
period_url,TEXT,Source reference,"URL de la página índice del periodo legislativo.","URL of the legislative-period index page.","HTTPS URL or NULL.","Provides navigation context for the vote page."
chamber,TEXT,Required attribute,"Cámara legislativa asociada con la votación.","Legislative chamber associated with the vote.","DIP.","The Gaceta pipeline currently targets Cámara de Diputados."
title,TEXT,Source attribute,"Título o descripción principal de la votación.","Primary title or description of the vote.","Text or NULL.","Preserved from the source."
vote_date,TEXT,Source attribute,"Fecha de la votación cuando puede determinarse.","Vote date when it can be determined.","ISO date text or NULL.","Separate from the publication date of the Gaceta."
gaceta_number,TEXT,Source attribute,"Número de la Gaceta asociada.","Associated Gaceta issue number.","Source text or NULL.","Preserved as published."
gaceta_date,TEXT,Source attribute,"Fecha de publicación de la Gaceta.","Gaceta publication date.","ISO date text or NULL.","May differ from vote_date."
status_text,TEXT,Source attribute,"Texto de estado o resultado mostrado por la fuente.","Status or result text displayed by the source.","Text or NULL.","Useful when detail data is incomplete."
vote_context,TEXT,Source attribute,"Contexto textual adicional de la votación.","Additional textual context for the vote.","Text or NULL.","Retains surrounding source information used for interpretation and classification."
